"2022-01-01","40","29000","Mobi","1","Fiat"
"2022-01-01","2","49000","argo","1","Fiat"
"2022-01-01","3","19000","Uno","1","Fiat"
"2022-01-01","35","35000","Up","2","Volkswagen"
"2022-01-01","42","32000","Picanto","3","Kia"
"2022-01-01","2","40000","Gol","2","Volkswagen"
"2022-01-01","4","60000","Lancer","7","Mitsubishi"
"2022-01-01","1","35000","Kombi","2","Volkswagen"
"2022-01-01","2","45200","onix","9","Chevrolet "
"2022-01-01","1","270000","E-J7","10","JaC Motors"
"2022-01-01","5","70000","Captur","11","Renault"
"2022-02-01","1","8000","Palio","1","Fiat"
"2022-02-01","40","35000","Up","2","Volkswagen"
"2022-02-01","52","29000","Mobi","1","Fiat"
"2022-02-01","30","36000","Picanto","3","Kia"
"2022-02-01","15","45000","Yaris","5","Toyota"
"2022-02-01","2","28000","March","6","Nissan"
"2022-02-01","7","240000","L200","7","Mitsubishi"
"2022-02-01","6","30000","Gol","2","Volkswagen"
"2022-02-01","4","41000","Cerato","3","Kia"
"2022-02-01","6","145000","E-JS1","10","JaC Motors"
"2022-02-01","3","60000","Duster","11","Renault"
"2022-03-01","1","10000","Uno","1","Fiat"
"2022-03-01","30","35000","Up","2","Volkswagen"
"2022-03-01","25","145000","Picanto","3","Kia"
"2022-03-01","20","79000","208","4","Peugeot "
"2022-03-01","30","30000","Mobi","1","Fiat"
"2022-03-01","1","28000","Gol","2","Volkswagen"
"2022-03-01","1","75000","Lancer","7","Mitsubishi"
"2022-03-01","2","300000","Forester","8","Subaru"
"2022-03-01","3","45000","onix","9","Chevrolet "
"2022-03-01","5","25000","J5","10","JaC Motors"
"2022-03-01","1","30000","Sandero","11","Renault"
"2022-04-01","40","28000","Mobi","1","Fiat"
"2022-04-01","45","30000","Up","2","Volkswagen"
"2022-04-01","30","26000","Picanto","3","Kia"
"2022-04-01","25","85000","208","4","Peugeot "
"2022-04-01","1","12000","Palio","1","Fiat"
"2022-04-01","5","30000","March","6","Nissan"
"2022-04-01","1","124000","Eclipse","7","Mitsubishi"
"2022-04-01","4","320000","XV","8","Subaru"
"2022-04-01","1","99000","Polo","2","Volkswagen"
"2022-04-01","1","14000","J2","10","JaC Motors"
"2022-04-01","5","25000","Clio","11","Renault"
"2022-05-01","50","25000","Mobi","1","Fiat"
"2022-05-01","45","29000","Up","2","Volkswagen"
"2022-05-01","35","19000","Picanto","3","Kia"
"2022-05-01","2","28000","argo","1","Fiat"
"2022-05-01","3","35000","Yaris","5","Toyota"
"2022-05-01","7","22000","March","6","Nissan"
"2022-05-01","2","90000","T-Cross","2","Volkswagen"
"2022-05-01","4","320000","Forester","8","Subaru"
"2022-05-01","3","40000","onix","9","Chevrolet "
"2022-05-01","2","12000","J2","10","JaC Motors"
"2022-05-01","5","18000","Clio","11","Renault"
"2022-06-01","45","26000","Mobi","1","Fiat"
"2022-06-01","35","30000","Up","2","Volkswagen"
"2022-06-01","30","20000","Picanto","3","Kia"
"2022-06-01","20","78000","208","4","Peugeot "
"2022-06-01","2","20000","Uno","1","Fiat"
"2022-06-01","3","23000","March","6","Nissan"
"2022-06-01","8","160000","Pajero","7","Mitsubishi"
"2022-06-01","4","80000","Cronos","1","Fiat"
"2022-06-01","8","42000","onix","9","Chevrolet "
"2022-06-01","1","13000","J2","10","JaC Motors"
"2022-06-01","3","80000","Sandero RS","11","Renault"
"2022-07-01","40","32000","Mobi","1","Fiat"
"2022-07-01","35","35000","Up","2","Volkswagen"
"2022-07-01","38","18000","Picanto","3","Kia"
"2022-07-01","6","80000","2008","4","Peugeot "
"2022-07-01","20","140000","Corolla","5","Toyota"
"2022-07-01","1","120000","Jetta","2","Volkswagen"
"2022-07-01","3","75000","Lancer","7","Mitsubishi"
"2022-07-01","15","250000","WRX","8","Subaru"
"2022-07-01","3","55000","onix","9","Chevrolet "
"2022-07-01","4","10000","J2","10","JaC Motors"
"2022-07-01","8","35000","Duster","11","Renault"
"2022-08-01","25","35000","Mobi","1","Fiat"
"2022-08-01","20","38000","Up","2","Volkswagen"
"2022-08-01","22","33000","Picanto","3","Kia"
"2022-08-01","10","78000","208","4","Peugeot "
"2022-08-01","10","14000","Corolla","5","Toyota"
"2022-08-01","1","22000","March","6","Nissan"
"2022-08-01","3","300000","L200","7","Mitsubishi"
"2022-08-01","6","60000","Saveiro","2","Volkswagen"
"2022-08-01","4","45000","onix","9","Chevrolet "
"2022-08-01","1","12000","J2","10","JaC Motors"
"2022-08-01","4","32000","Clio","11","Renault"
"2022-09-01","20","34000","Mobi","1","Fiat"
"2022-09-01","21","45000","Up","2","Volkswagen"
"2022-09-01","18","35000","Picanto","3","Kia"
"2022-09-01","1","19000","307","4","Peugeot "
"2022-09-01","4","120000","Corolla","5","Toyota"
"2022-09-01","2","30000","March","6","Nissan"
"2022-09-01","3","70000","Lancer","7","Mitsubishi"
"2022-09-01","5","240000","Brz","8","Subaru"
"2022-09-01","4","38000","onix","9","Chevrolet "
"2022-09-01","1","10000","J2","10","JaC Motors"
"2022-09-01","1","32000","Sandero","11","Renault"
"2022-10-01","15","60000","Mobi","1","Fiat"
"2022-10-01","17","54000","Up","2","Volkswagen"
"2022-10-01","19","42000","Picanto","3","Kia"
"2022-10-01","6","12000","206","4","Peugeot "
"2022-10-01","2","60000","Yaris","5","Toyota"
"2022-10-01","2","45000","Kombi","2","Volkswagen"
"2022-10-01","3","80000","Lancer","7","Mitsubishi"
"2022-10-01","10","360000","Forester","8","Subaru"
"2022-10-01","1","40000","onix","9","Chevrolet "
"2022-10-01","2","14000","J2","10","JaC Motors"
"2022-10-01","6","36000","Clio","11","Renault"
"2022-11-01","25","64000","Mobi","1","Fiat"
"2022-11-01","26","58000","Up","2","Volkswagen"
"2022-11-01","30","46000","Picanto","3","Kia"
"2022-11-01","15","92000","208","4","Peugeot "
"2022-11-01","6","158000","Corolla","5","Toyota"
"2022-11-01","3","30000","March","6","Nissan"
"2022-11-01","2","42000","Uno","1","Fiat"
"2022-11-01","1","89000","Rio","3","Kia"
"2022-11-01","5","40000","onix","9","Chevrolet "
"2022-11-01","1","12000","J2","10","JaC Motors"
"2022-11-01","10","42000","Clio","11","Renault"
"2022-12-01","32","72000","Mobi","1","Fiat"
"2022-12-01","24","68000","Up","2","Volkswagen"
"2022-12-01","19","49000","Picanto","3","Kia"
"2022-12-01","1","90000","2008","4","Peugeot "
"2022-12-01","3","75000","Yaris","5","Toyota"
"2022-12-01","1","15000","Palio","1","Fiat"
"2022-12-01","5","280000","Pajero","7","Mitsubishi"
"2022-12-01","12","360000","Forester","8","Subaru"
"2022-12-01","2","45000","Cerato","3","Kia"
"2022-12-01","1","12000","J2","10","JaC Motors"
"2022-12-01","6","52000","Sandero","11","Renault"
